,title,artist/s,danceability,key,loudness,speechiness,liveness,valence,tempo,duration_ms,music_label,artist_collab,chart_history,mean_trends,stream1,stream2,stream3,stream4,stream5,stream6,stream7,stream8,stream9,song_familiarity,artist_familiarity,bad_good,distasteful_tasty,dull_exciting,tasteless_tasteful,unimaginative_creative,untalented_talented,unpleasant_pleasant,forgettable_memorable,boring_interesting,listen_similar,share_friends,add_playlist,stream_category
0,Kill Bill,SZA,0.644,8.0,-5.75,0.0351,0.161,0.43,88.993,153947.0,1,0,72.0,48.45161290322581,10,10,10,10,10,10,10,10,10,4.75,4.05,5.25,4.95,4.35,4.85,5.15,5.45,5.35,5.1,5.25,5.25,4.6,4.85,10
1,Mahika,"Adie, Janine Berdin",0.635,7.0,-7.406,0.0391,0.139,0.601,81.976,201951.0,1,1,72.0,23.33870967741936,10,10,10,10,10,10,10,10,10,6.5,3.0,6.05,5.85,5.2,5.65,5.45,5.7,6.15,5.95,5.55,5.9,5.15,5.5,10
2,Anti-Hero,Taylor Swift,0.637,4.0,-6.571,0.0519,0.142,0.533,97.008,200690.0,10,0,72.0,55.596774193548384,10,10,10,10,10,10,10,10,10,5.1,4.55,6.05,6.05,5.6,6.05,5.9,6.25,6.25,5.6,5.7,6.0,5.35,5.45,10
6,Wet The Bed (feat. Ludacris),"Chris Brown, Ludacris",0.58,6.0,-7.405,0.0429,0.174,0.411,123.801,266307.0,10,1,72.0,35.37096774193548,9,9,9,9,9,9,9,8,8,5.6,6.85,6.05,5.65,5.7,5.85,6.45,6.35,6.05,6.1,5.85,5.6,5.15,5.4,7
7,Unholy (feat. Kim Petras),"Sam Smith, Kim Petras",0.714,2.0,-7.375,0.0864,0.266,0.238,131.121,156943.0,5,1,72.0,33.61290322580645,9,9,9,9,9,10,9,9,9,3.95,4.6,5.75,5.75,5.05,5.75,5.45,6.05,6.0,4.8,4.9,4.95,4.35,4.3,9
8,Under The Influence,Chris Brown,0.733,9.0,-5.529,0.0427,0.105,0.31,116.992,184613.0,10,0,72.0,35.37096774193548,9,9,9,9,9,9,9,9,9,3.65,4.5,5.35,5.55,4.85,5.25,5.3,5.55,5.6,4.95,5.15,4.9,4.6,4.9,9
9,"Babalik Sa'yo (from ""2 Good 2 Be True"")",Moira Dela Torre,0.515,1.0,-7.798,0.093,0.33,0.695,157.866,229712.0,10,0,72.0,35.45161290322581,9,9,9,9,9,9,9,9,9,4.85,4.8,5.75,5.85,5.2,5.65,5.25,6.15,6.05,5.25,5.3,5.1,4.7,4.9,9
11,Midnight Rain,Taylor Swift,0.643,0.0,-11.738,0.0767,0.115,0.23,139.865,174783.0,10,0,72.0,55.596774193548384,9,9,9,9,9,9,9,9,9,3.1,1.8,5.4,5.45,4.6,5.35,4.7,5.35,5.6,4.5,4.7,4.8,4.45,4.2,9
14,Die For You,The Weeknd,0.582,1.0,-7.163,0.0627,0.134,0.51,133.249,260253.0,5,0,72.0,39.14516129032258,9,9,9,9,9,10,10,10,10,3.55,2.15,4.15,4.05,4.35,4.3,4.2,4.75,4.25,4.15,4.15,3.45,3.0,2.9,10
15,As It Was,Harry Styles,0.52,6.0,-5.338,0.0557,0.311,0.662,173.93,167303.0,5,0,72.0,16.870967741935484,9,9,9,9,9,9,9,9,9,4.35,2.1,5.2,5.15,4.2,5.15,4.7,5.25,5.9,5.55,4.9,5.05,4.45,4.85,9
