rank,uri,artist_names,track_name,source,peak_rank,previous_rank,weeks_on_chart,streams
24,"spotify:track:0NZPBYD5qbEWRs3PrGiRkT","Sam Smith, Kim Petras","Unholy (feat. Kim Petras)","EMI",7,22,19,"1296701"
25,"spotify:track:2e7iqtA42EPXTtiiAlblC1","Moira Dela Torre","Babalik Sa'yo (from ""2 Good 2 Be True"")","ABS-CBN Music",2,21,24,"1278815"
26,"spotify:track:4Dvkj6JhhA12EX05fT7y2e","Harry Styles","As It Was","Columbia",4,28,44,"1251052"
27,"spotify:track:3W4U7TEgILGpq0EmquurtH","yuji, putri dahlia","Old Love","yuji",23,26,22,"1212126"
28,"spotify:track:08MFgEQeVLF37EyZ7jcwLc","Zack Tabudlo","Pano","Universal Music Philippines Inc.",1,30,60,"1211328"
29,"spotify:track:0QHEIqNKsMoOY5urbzN48u","Meghan Trainor","Made You Look","Epic",4,32,15,"1210730"
30,"spotify:track:2jbf9EytR7fzpSrPWAYCf9","Adie","Paraluman","O/C Records",3,34,91,"1207019"
31,"spotify:track:2vnd3JVvcLs2LxRFwC6mKu","Shanti Dope","City Girl","Universal Records",22,29,9,"1203994"
32,"spotify:track:38DlSDrx9tgc5Gfq6y3aBa","TWICE","MOONLIGHT SUNRISE","Republic Records - TWICE",24,24,2,"1161194"
33,"spotify:track:1gH1h30wkQdd9zhY3j7a8T","Rex Orange County","THE SHADE","Rex Orange County",3,37,31,"1155936"
34,"spotify:track:5IgjP7X4th6nMNDh4akUHb","Chris Brown","Under The Influence","Chris Brown Entertainment/RCA Records",3,33,27,"1148085"
35,"spotify:track:4z7xboLD3PqY9dOUscS2ly","mrld","Ikaw Pa Rin","O/C Records",35,39,17,"1132046"
36,"spotify:track:2xRGPubKBTHX6iyrpQvtCy","Chris Brown, Ludacris","Wet The Bed (feat. Ludacris)","Jive",4,31,11,"1079828"
37,"spotify:track:26hOm7dTtBi0TdpDGl141t","Joji","Die For You","88rising Music/Warner Records",4,36,13,"1062425"
38,"spotify:track:4fsQ0K37TOXa3hEQfjEic1","LE SSERAFIM","ANTIFRAGILE","SOURCE MUSIC",21,40,16,"1061052"
39,"spotify:track:5CUQnKjA6nlteCnxMKsjIu","Adie","Tahanan","O/C Records",6,38,61,"1060727"
40,"spotify:track:5Odq8ohlgIbQKMZivbWkEo","Charlie Puth, Jung Kook, BTS","Left and Right (Feat. Jung Kook of BTS)","Atlantic Records",1,41,32,"1056938"
41,"spotify:track:5odlY52u43F5BjByhxg7wg","JVKE","golden hour","JVKE",30,35,22,"1047856"
42,"spotify:track:0WZqHCoOBXqgCCIsUZLC2a","Arthur Nery","Pagsamo","Viva Records",1,47,70,"1025821"
43,"spotify:track:5jQI2r1RdgtuT8S3iG8zFC","Taylor Swift","Lavender Haze","Taylor Swift",3,64,15,"1022637"
44,"spotify:track:1AuxZd50Dpaz0cCWphYryh","iluna","panaginip","evosound",44,51,4,"977249"
45,"spotify:track:2xCkiGqGMkAIg6fQTag51C","Unique Salonga","Sino","O/C Records",45,71,77,"965520"
46,"spotify:track:1oYQtNQUxSODedcc5hPmp9","Ace Banzuelo","Muli","Sony Music Entertainment",2,50,38,"956637"
47,"spotify:track:3h8uWt8HNyDNubPSEBgTPG","Zack Tabudlo","Yakap","Universal Music Philippines Inc.",41,44,17,"950224"
48,"spotify:track:4ewazQLXFTDC8XvCbhvtXs","Joji","Glimpse of Us","88rising Music/Warner Records",1,43,34,"939774"
49,"spotify:track:5XeFesFbtLpXzIVDNQP22n","Arctic Monkeys","I Wanna Be Yours","Domino Recording Co",37,42,25,"937207"
50,"spotify:track:6FIEuf1JIzmCtach0gXpeG","Up Dharma Down","Tadhana","Viva Records",28,53,307,"927220"
51,"spotify:track:2m6Ko3CY1qXNNja8AlugNc","Troye Sivan","Angel Baby","EMI Recorded Music Australia Pty Ltd",1,48,73,"908439"
52,"spotify:track:5TTXEcfsYLh6fTarLaevTi","NIKI","lowkey","88rising Music",26,58,159,"896758"
53,"spotify:track:0QzuaeCEEOV40Pn7IvKEny","dhruv","double take","Little Worry/RCA Records",1,49,84,"893286"
54,"spotify:track:3sqrvkNC6IPTIXvvbx9Arw","Taylor Swift","Enchanted","Big Machine Records, LLC",12,54,65,"891063"
55,"spotify:track:7gfrASeOt73YWvpIv1fU8E","Arthur Nery","Higa","O/C Records",10,55,139,"888266"
56,"spotify:track:61AZsmFB3VoJdmraMk5ZSn","TAEYANG, Jimin","VIBE (feat. Jimin of BTS)","THEBLACKLABEL",39,56,3,"881832"
57,"spotify:track:4tyEfRWLgYkWQaowoHXoba","Moira Dela Torre","Kumpas - Theme of “2 Good 2 Be True”","Star Music",8,57,35,"879138"
58,"spotify:track:1Y3LN4zO1Edc2EluIoSPJN","Stephen Sanchez, Em Beihold","Until I Found You (with Em Beihold) - Em Beihold Version","Republic Records",11,60,14,"877078"
59,"spotify:track:0o9zmvc5f3EFApU52PPIyW","Fujii Kaze","Shinunoga E-Wa","Universal Music LLC",24,52,23,"876630"
60,"spotify:track:5d9Rka4T0szdC1MobhtXrV","Ben&Ben","Paninindigan Kita","Sony Music Entertainment",25,59,40,"874062"
61,"spotify:track:50x1Ic8CaXkYNvjmxe3WXy","New West","Those Eyes","Republic Records",57,63,30,"862173"
62,"spotify:track:37F0uwRSrdzkBiuj0D5UHI","The Weeknd","Reminder","Universal Republic Records",62,178,2,"852861"
63,"spotify:track:4IeuTj1pEHuL9vJSiEqEfR","mrld","Ligaya","O/C Records",18,68,61,"802219"
64,"spotify:track:2pIUpMhHL6L9Z5lnKxJJr9","NewJeans","Attention","ADOR",30,70,25,"795313"
65,"spotify:track:3Eb5sztvEMa0Mqnb8DUAlU","IV Of Spades","Come Inside Of My Heart","Warner Music Philippines",44,67,97,"776143"
66,"spotify:track:0mL82sxCRjrs3br407IdJh","The Weeknd","Is There Someone Else?","XO / Republic Records",52,69,40,"766970"
67,"spotify:track:5ABJ0rNmVmLsyiPxOEwe9e","Silent Sanctuary","Bumalik Ka Na Sa'kin","Ivory Music & Video, Inc.",67,88,32,"758292"
68,"spotify:track:3PgjBOoA5OytNGkglObpOd","Ben&Ben","Sa Susunod na Habang Buhay","Sony Music Entertainment",2,72,153,"755016"
69,"spotify:track:4rG3h1QwgjSSWz8EIjCFrm","Ben&Ben","Araw-Araw","Sony Music Entertainment",23,66,177,"752823"
70,"spotify:track:6VhuP99TE6gYNQRJIlAWFD","Stephen Sanchez","Until I Found You","Republic Records",7,62,39,"747915"
71,"spotify:track:3WUEs51GpcvlgU7lehLgLh","Ben&Ben","Kathang Isip","Warner Music Philippines",2,61,268,"743365"
72,"spotify:track:7ArVzlFsFsQXNseVXmdOyk","Denise Julia","NVMD","Denise Julia",14,73,41,"735632"
73,"spotify:track:663vZfMh88Uo2bfTx6wiE4","Janine Teñoso, Arthur Nery","Pelikula","Viva Records",32,90,81,"733658"
74,"spotify:track:0rhI6gvOeCKA502RdJAbfs","TOMORROW X TOGETHER","Sugar Rush Ride","Republic Records - TXT",74,-1,1,"697791"
75,"spotify:track:7C9Knp9FzLY6RwgktmW9Ge","Because, Leslie","BMW","Viva Records",4,85,72,"691509"
76,"spotify:track:5uCax9HTNlzGybIStD3vDh","James Arthur","Say You Won't Let Go","Columbia",1,92,319,"683939"
77,"spotify:track:2wSTnntOPRi7aQneobFtU4","SZA","Shirt","Top Dawg Entertainment/RCA Records",27,45,14,"682848"
78,"spotify:track:3OM6qQmdFV6uy61GIqpRtf","Rex Orange County","AMAZING","Rex Orange County",23,81,25,"681650"
79,"spotify:track:2BDrpeAnTxCurLt38yDSrE","Lo ki","Kagome","DRP Records",6,65,47,"657433"
80,"spotify:track:7gRFDGEzF9UkBV233yv2dc","BLACKPINK","Shut Down","YG Entertainment",1,77,20,"656124"
81,"spotify:track:6rIx9meOtOHDoo6ryRUdHv","December Avenue","Huling Sandali (Tayo Sa Huling Buwan Ng Taon Official Soundtrack)","Tower of Doom",12,140,173,"652787"
82,"spotify:track:0B7wvvmu9EISAwZnOpjhNI","Bruno Mars","When I Was Your Man","Atlantic Records",82,89,20,"651903"
83,"spotify:track:4D7BCuvgdJlYvlX5WlN54t","Taylor Swift","You're On Your Own, Kid","Taylor Swift",6,79,15,"650351"
84,"spotify:track:0bhzB5PBUVqZSux5Y7t5ED","Silent Sanctuary","Ikaw Lamang","Universal Records",48,103,163,"649133"
85,"spotify:track:5NvOZCjZaGGGL597exlQWv","Ricky Montgomery","Line Without a Hook","Warner Records",10,80,74,"642588"
86,"spotify:track:5MYPzdIWgx3pMLRGlq2fVq","Zack Tabudlo","Asan Ka Na Ba","Universal Music Philippines Inc.",6,94,45,"639272"
87,"spotify:track:4JSDhJVmo2UqdF7nxbyenn","Hale","Kung Wala Ka","Polyeast",47,74,304,"635850"
88,"spotify:track:1dGr1c8CrMLDpV6mPbImSI","Taylor Swift","Lover","Taylor Swift",1,86,120,"635086"
89,"spotify:track:4SqWKzw0CbA05TGszDgMlc","The Walters","I Love You So","Warner Records",10,75,70,"627217"
90,"spotify:track:5F1ZmucV0uJY14y2dYKePa","Joji","Sanctuary","88rising Music/Warner Records",17,82,149,"626419"
91,"spotify:track:5WxVXxCMRnvxUKFq40ELwq","RAYE, 070 Shake","Escapism.","Human Re Sources",91,100,5,"625116"
92,"spotify:track:0D1ecMMsSIpJbjPoJMHGkV","Parokya Ni Edgar","Your Song","Universal Records",34,117,282,"619899"
93,"spotify:track:63bmIgH9sS6sX5Sc7MetGq","Zack Tabudlo","Habang Buhay","Universal Music Philippines Inc.",2,91,71,"618994"
94,"spotify:track:2eAvDnpXP5W0cVtiI0PUxV","Ruth B.","Dandelions","Columbia",20,78,84,"611682"
95,"spotify:track:4u8RkgV6P4TLi89SmlUtv8","IV Of Spades","Mundo","Warner Music Philippines",1,116,260,"611106"
96,"spotify:track:55RMhrPQYA6vLu5YMgXxFD","Zack Tabudlo","Binibini","Universal Music Philippines Inc.",1,87,96,"609179"
97,"spotify:track:2DwUdMJ5uxv20EhAildreg","NewJeans","Cookie","ADOR",97,123,7,"605785"
98,"spotify:track:68HocO7fx9z0MgDU0ZPHro","NIKI","Every Summertime","MARVEL/Hollywood Records, Inc./Interscope Records",2,97,59,"604517"
99,"spotify:track:5O2P9iiztwhomNh8xkR9lJ","One Direction","Night Changes","Syco Music",80,101,85,"597608"
100,"spotify:track:6I3mqTwhRpn34SLVafSH7G","Justin Bieber","Ghost","RBMG/Def Jam",6,83,72,"594243"
101,"spotify:track:3qoftcUZaUOncvIYjFSPdE","Taylor Swift","Bejeweled","Taylor Swift",8,104,15,"592564"
102,"spotify:track:1BxfuPKGuaTgP7aM0Bbdwr","Taylor Swift","Cruel Summer","Taylor Swift",9,96,64,"591617"
103,"spotify:track:1u8c2t2Cy7UBoG4ArRcF5g","Taylor Swift","Blank Space","Big Machine Records, LLC",69,132,125,"578209"
104,"spotify:track:2GAhgAjOhEmItWLfgisyOn","SZA","Low","Top Dawg Entertainment/RCA Records",93,93,5,"577438"
105,"spotify:track:4R2kfaDFhslZEMJqAFNpdd","Taylor Swift","cardigan","Taylor Swift",1,107,50,"574296"
106,"spotify:track:6wdCelHrPh7UfliNjwRTUv","Ben&Ben","Leaves","Warner Music Philippines",40,95,262,"573204"
107,"spotify:track:1wtOxkiel43cVs0Yux5Q4h","Taylor Swift, Lana Del Rey","Snow On The Beach (feat. Lana Del Rey)","Taylor Swift",4,99,15,"573027"
108,"spotify:track:0tr6XR58KBdDYd8qvHVTs8","Taylor Swift","Back To December","Big Machine Records, LLC",54,112,29,"570031"
109,"spotify:track:1fDFHXcykq4iw8Gg7s5hG9","The 1975","About You","Dirty Hit",87,114,15,"569181"
110,"spotify:track:2bOIWTTDL1XmHcaPWaCdek","Ric Segreto","Don't Know What to Say - Don't Know What to Do","Vicor Music Corporation",100,145,36,"566856"
111,"spotify:track:062z5ZMd0a0snMBZ75tOco","Up Dharma Down","Oo","Viva Records",111,156,15,"566400"
112,"spotify:track:3pCt2wRdBDa2kCisIdHWgF","Pamungkas","To the Bone","Mas Pam Records",5,147,87,"561001"
113,"spotify:track:0ug5NqcwcFR2xrfTkc7k8e","Taylor Swift","Style","Big Machine Records, LLC",77,135,68,"551709"
114,"spotify:track:0xaKCWpX4CBSqwh7CQa4EG","Al James","PSG","Al James",9,151,55,"551567"
115,"spotify:track:6YjKd9oPXKqjLUVPo4Y0oi","Ben&Ben","The Ones We Once Loved","Sony Music Entertainment",10,121,23,"550221"
116,"spotify:track:1xzi1Jcr7mEi9K2RfzLOqS","Beyoncé","CUFF IT","Parkwood Entertainment/Columbia",63,122,17,"549139"
117,"spotify:track:4k6Uh1HXdhtusDW5y8Gbvy","Steve Lacy","Bad Habit","L-M Records/RCA Records",57,115,29,"546325"
118,"spotify:track:5zwwW9Oq7ubSxoCGyW1nbY","BLACKPINK","Pink Venom","YG Entertainment",1,125,24,"543619"
119,"spotify:track:3afkJSKX0EAMsJXTZnDXXJ","Troye Sivan","Strawberries & Cigarettes","EMI Recorded Music Australia Pty Ltd",22,119,163,"542561"
120,"spotify:track:6brl7bwOHmGFkNw3MBqssT","Ne-Yo","So Sick","Def Soul",77,105,265,"542534"
121,"spotify:track:3hUxzQpSfdDqwM3ZTFQY0K","Taylor Swift","august","Taylor Swift",6,118,43,"540646"
122,"spotify:track:1dcNEEtODRVZEevQ20Cgmy","Zack Tabudlo","Nangangamba","Universal Music Philippines Inc.",4,128,96,"540462"
123,"spotify:track:135ggzbjOogZ75IQ0LQi8r","Eraserheads","Ang Huling El Bimbo","Musiko",43,110,307,"534639"
124,"spotify:track:5l9g7py8RCblcvbZgGQgSd","Ben&Ben","Pagtingin","Sony Music Entertainment",2,84,196,"533367"
125,"spotify:track:1xK59OXxi2TAAAbmZK0kBL","d4vd","Romantic Homicide","Darkroom/Interscope Records",86,106,20,"532105"
126,"spotify:track:20gchtRYM7bFiOjYKQB8zZ","The Itchyworms","Beer","Universal Records",94,126,23,"530920"
127,"spotify:track:1NpDnkQO0yWxTtntrC0UNz","Rihanna","California King Bed","Def Jam Recordings",57,109,11,"526067"
128,"spotify:track:5kY2DRIom6dcVZbQb1SAX8","Justine Skye, Tyga","Collide (feat. Tyga)","Nynetineth LLC",128,136,6,"525800"
129,"spotify:track:08hFNg8Oz3lvaAms7qrIif","Hale","The Day You Said Goodnight","PolyEast Records",41,167,230,"524208"
130,"spotify:track:3RKjTYlQrtLXCq5ncswBPp","Baby Tate","Hey, Mickey!","Yung Baby Tate",130,-1,1,"515227"
131,"spotify:track:22Nd3GuO7sHopPjdKccRcq","mrld","An Art Gallery Could Never Be As Unique As You","O/C Records",129,-1,29,"512708"
132,"spotify:track:1R0a2iXumgCiFb7HEZ7gUE","Taylor Swift","Don’t Blame Me","Big Machine Records, LLC",51,129,37,"510839"
133,"spotify:track:7MXVkk9YMctZqd1Srtv4MB","The Weeknd, Daft Punk","Starboy","Universal Republic Records",9,152,35,"508616"
134,"spotify:track:4xqrdfXkTW4T0RauPLv3WA","Conan Gray","Heather","Republic Records",13,98,132,"507024"
135,"spotify:track:2gYj9lubBorOPIVWsTXugG","IVE","After LIKE","Starship Entertainment",18,124,24,"504376"
136,"spotify:track:1cKHdTo9u0ZymJdPGSh6nq","The Weeknd, Gesaffelstein","I Was Never There","Universal Republic Records",108,133,30,"503659"
137,"spotify:track:4iRRAvxPPWXQp3mV1rAbPF","NOBITA","Unang Sayaw","Sony Music Entertainment",12,111,68,"503460"
138,"spotify:track:3jiKUMXqwEodB7gVv1RMZU","Bruno Mars, Anderson .Paak, Silk Sonic, Thundercat, Bootsy Collins","After Last Night (with Thundercat & Bootsy Collins)","Aftermath Entertainment/Atlantic",98,143,13,"503291"
139,"spotify:track:5enxwA8aAbwZbf5qCHORXi","Taylor Swift","All Too Well (10 Minute Version) (Taylor's Version) (From The Vault)","Taylor Swift",1,138,64,"502406"
140,"spotify:track:1RMJOxR6GRPsBHL8qeC2ux","Daniel Caesar, H.E.R.","Best Part (feat. H.E.R.)","Golden Child Recordings",12,137,267,"498887"
141,"spotify:track:4VXIryQMWpIdGgYR4TrjT1","Juice WRLD","All Girls Are The Same","Juice WRLD Mixtape / ISR P&D",141,160,4,"498054"
142,"spotify:track:4h9wh7iOZ0GGn8QVp4RAOB","OneRepublic","I Ain't Worried","Interscope Records",55,141,31,"497640"
143,"spotify:track:4uUG5RXrOk84mYEfFvj3cK","David Guetta, Bebe Rexha","I'm Good (Blue)","Parlophone UK",66,154,22,"495495"
144,"spotify:track:3U8MbjNAP56IrzpbEFn1qN","Al James","Pa-umaga","ProducedbyJimP",53,163,92,"494976"
145,"spotify:track:3nqqDo8CcCLke3ZoTgiOKf","The Script","The Man Who Can't Be Moved","Epic/Phonogenic",99,171,148,"493876"
146,"spotify:track:3eX0NZfLtGzoLUxPNvRfqm","Taylor Swift","Maroon","Taylor Swift",5,146,15,"493806"
147,"spotify:track:69u8qQcaA3o0A7Ko87juqp","Orange & Lemons","Hanggang Kailan - Umuwi Ka Na Baby","Universal Records",48,155,209,"491205"
148,"spotify:track:0EA8jl8Wje9ALRKC8Qlzyt","Arthur Nery, Jason Dhakal","Happy w u","Viva Records",21,142,81,"488760"
149,"spotify:track:0ll8uFnc0nANY35E0Lfxvg","Keane","Somewhere Only We Know","Universal-Island Records Ltd.",76,162,26,"486277"
150,"spotify:track:5FAa20dKuaEaRHz9rzRw7X","Wilbert Ross","LANGGA","Viva Records",113,157,14,"485781"
151,"spotify:track:1bDbXMyjaUIooNwFE9wn0N","Drake, 21 Savage","Rich Flex","OVO / Republic Records",44,102,13,"481051"
152,"spotify:track:5Ro6MdZGgce4PEuaFCJYPq","Eraserheads","Ligaya","Musiko",87,161,20,"480456"
153,"spotify:track:1NopgVCMVhCKIm64tF7auX","Eraserheads","With A Smile","Musiko",59,153,114,"478346"
154,"spotify:track:22bPsP2jCgbLUvh82U0Z3M","Taylor Swift","The Way I Loved You (Taylor’s Version)","Taylor Swift",17,148,36,"477823"
155,"spotify:track:4mzP5mHkRvGxdhdGdAH7EJ","Zack Tabudlo","Give Me Your Forever","Universal Music Philippines Inc.",21,158,66,"476758"
156,"spotify:track:2kSb3wYSOV996xA2NSmpck","Kali Uchis","Melting","Kali Uchis LLC",91,127,11,"474714"
157,"spotify:track:0Eqg0CQ7bK3RQIMPw1A7pl","LANY","Malibu Nights","Polydor Records",2,-1,225,"462185"
158,"spotify:track:04qDUASuSfVp6fktfsxVej","Caleb Santos, Viva Music Publishing Inc.","I Need You More Today","Viva Records Corporation",89,192,145,"461476"
159,"spotify:track:4AfA4PrYOYuVRwqWG1YwIG","Moira Dela Torre","ikaw at sila","Just Music Philippines",76,76,2,"459015"
160,"spotify:track:5CZ40GBx1sQ9agT82CLQCT","Olivia Rodrigo","traitor","Olivia Rodrigo PS",4,144,89,"457124"
161,"spotify:track:2CSRrnOEELmhpq8iaAi9cd","SZA","Blind","Top Dawg Entertainment/RCA Records",110,149,6,"455921"
162,"spotify:track:567e29TDzLwZwfDuEpGTwo","The Kid LAROI, Justin Bieber","STAY (with Justin Bieber)","Columbia",1,175,82,"454765"
163,"spotify:track:1oFAF1hdPOickyHgbuRjyX","The Weeknd, Ariana Grande","Save Your Tears (Remix) (with Ariana Grande) - Bonus Track","XO / Republic Records",11,165,93,"454637"
164,"spotify:track:1qrpoAMXodY6895hGKoUpA","Taylor Swift","You Belong With Me (Taylor’s Version)","Taylor Swift",11,164,33,"453663"
165,"spotify:track:6HVT2c1ZZdhH1nGFb4AxUJ","Cup of Joe","Estranghero","Viva Records",165,185,2,"453529"
166,"spotify:track:3i0FkJYlU4MFfYkjFHXXAM","Sam Smith, Calvin Harris, Jessie Reyez","I'm Not Here To Make Friends","EMI",166,-1,1,"452172"
167,"spotify:track:7BqBn9nzAq8spo5e7cZ0dJ","Bruno Mars","Just the Way You Are","Atlantic Records",53,159,266,"448641"
168,"spotify:track:6uDYCYObYXJXoMnCzz8083","Orange & Lemons","Yakap sa Dilim","Universal Records",114,-1,26,"446421"
169,"spotify:track:2p6Fh5ruk8YUaO43huubHW","Justine Skye, Tyga","Collide (Sped Up Remix)","Nynetineth LLC",107,131,8,"445554"
170,"spotify:track:4qu63nuBpdn0qHUHuObEj1","Marshmello, Jonas Brothers","Leave Before You Love Me (with Jonas Brothers)","Republic Records",37,174,60,"444950"
171,"spotify:track:1o1Z58MIuGdh6wWjAVaKk3","PLAYERTWO","THAT'S MY BABY","PLAYERTWO",108,108,5,"444073"
172,"spotify:track:34ob61cxp34Sf7KHK6RnSU","PDL, Skusta Clee, Yuridope","Sa Susunod Na Lang","Panty Droppaz League",5,-1,168,"443736"
173,"spotify:track:011GTFfE8rqTRMhz5g8IAW","Al James, Rjay Ty, Lexus","Repeat","Al James",39,150,53,"443128"
174,"spotify:track:0WtM2NBVQNNJLh6scP13H8","Rema, Selena Gomez","Calm Down (with Selena Gomez)","Mavin Records / Jonzing World",174,179,3,"441587"
175,"spotify:track:5expoVGQPvXuwBBFuNGqBd","NewJeans","Hurt","ADOR",175,196,2,"441428"
176,"spotify:track:6bMSUhAmaAGTb5RTTuzWE3","Gloc 9","Simpleng Tao","Star Music",139,-1,71,"438321"
177,"spotify:track:1FnPkOlWCMwRtfXeAAuhMu","December Avenue","Sa Ngalan Ng Pag-Ibig","Tower of Doom",2,177,258,"437781"
178,"spotify:track:46IZ0fSY2mpAiktS3KOqds","Adele","Easy On Me","Columbia",2,169,66,"436566"
179,"spotify:track:1RDvyOk4WtPCtoqciJwVn8","Jung Kook, BTS, FIFA Sound","Dreamers [Music from the FIFA World Cup Qatar 2022 Official Soundtrack]","Katara Studios | 2101 Records under exclusive license to UnitedMasters LLC",35,113,11,"433560"
180,"spotify:track:092cPwFlwBXdB3QF3X469W","Arthur Nery","Binhi","O/C Records",13,172,97,"433167"
181,"spotify:track:5rV7xueHNNXaZqOLroaUta","December Avenue","Bulong","Tower of Doom",8,-1,137,"432534"
182,"spotify:track:2yjlYDiNiQkdxVqTlaSrlX","Nicki Minaj","Super Freaky Girl","Republic Records",13,130,25,"431323"
183,"spotify:track:34ceTg8ChN5HjrqiIYCn9Q","Ne-Yo","Miss Independent","Def Soul",67,176,16,"424241"
184,"spotify:track:5QO79kh1waicV47BqGRL3g","The Weeknd","Save Your Tears","Republic Records",13,182,71,"423775"
185,"spotify:track:1Fid2jjqsHViMX6xNH70hE","Seafret","Atlantis","Sweet Jane Recordings",26,168,32,"419843"
186,"spotify:track:6Al0RruBBzC6ft8u1p78hG","Silent Sanctuary","Kundiman","Universal Records",80,193,84,"419406"
187,"spotify:track:3AJwUDP919kvQ9QcozQPxg","Coldplay","Yellow","Parlophone UK",80,184,132,"418627"
188,"spotify:track:2aJnyNu4PQxQ2lyj5boiMG","SZA","I Hate U","Top Dawg Entertainment/RCA Records",17,173,22,"418412"
189,"spotify:track:2KjZEVkRS7wStfRygdRnso","December Avenue, Moira Dela Torre","Kung 'Di Rin Lang Ikaw","Tower of Doom",1,-1,224,"416368"
190,"spotify:track:4PMqSO5qyjpvzhlLI5GnID","SZA","Good Days","Top Dawg Entertainment/RCA Records",15,166,31,"410190"
191,"spotify:track:573EXMFHsEKPRSy08G91Sr","Katharine McPhee, Jason Reeves","Terrified","KATHARINE MCPHEE",49,188,117,"408983"
192,"spotify:track:0yuLBf218jLdW37vm3jYDz","Eraserheads","Magasin","Sony Music Entertainment",123,-1,3,"401201"
193,"spotify:track:3vGkyQlCw8LklNip0ZUELC","Join The Club","Nobela","Universal Music Philippines Inc.",31,139,142,"399924"
194,"spotify:track:0O6u0VJ46W86TxN9wgyqDj","Post Malone, Doja Cat","I Like You (A Happier Song) (with Doja Cat)","Mercury Records/Republic Records",44,189,35,"398884"
195,"spotify:track:3NanY0K4okhIQzL33U5Ad8","PinkPantheress","Boy's a liar","Warner Records",134,134,6,"397397"
196,"spotify:track:6HU7h9RYOaPRFeh0R3UeAr","Olivia Rodrigo","deja vu","Olivia Rodrigo PS",3,191,96,"396785"
197,"spotify:track:1cknB5OmLMuJFmdDzQpCIv","South Border","Rainbow","PolyEast Records",53,-1,318,"396614"
198,"spotify:track:2p8IUWQDrpjuFltbdgLOag","The Weeknd","After Hours","Republic Records",52,183,23,"396076"
199,"spotify:track:2CcQDI2IDhHbmBIFup58JE","Ariana Grande","Daydreamin'","Universal Records",128,181,17,"395688"
200,"spotify:track:1qEmFfgcLObUfQm0j1W2CK","Harry Styles","Late Night Talking","Columbia",29,-1,31,"392295"
